step 00676/01680 (40.24%) | loss: 3.191847 | lrm: 0.92 | dt: 2134.69ms | tok/sec: 245,603 | bf16_mfu: 59.80 | epoch: 1 pq: 7 rg: 43 | total time: 23.68m | eta: 35.7m
step 00677/01680 (40.30%) | loss: 3.182940 | lrm: 0.92 | dt: 2137.05ms | tok/sec: 245,332 | bf16_mfu: 59.74 | epoch: 1 pq: 7 rg: 44 | total time: 23.71m | eta: 35.7m
step 00678/01680 (40.36%) | loss: 3.185610 | lrm: 0.92 | dt: 2129.88ms | tok/sec: 246,158 | bf16_mfu: 59.94 | epoch: 1 pq: 7 rg: 45 | total time: 23.75m | eta: 35.6m
step 00679/01680 (40.42%) | loss: 3.182471 | lrm: 0.92 | dt: 2132.17ms | tok/sec: 245,893 | bf16_mfu: 59.87 | epoch: 1 pq: 7 rg: 46 | total time: 23.78m | eta: 35.6m
step 00680/01680 (40.48%) | loss: 3.180600 | lrm: 0.92 | dt: 2133.87ms | tok/sec: 245,698 | bf16_mfu: 59.83 | epoch: 1 pq: 7 rg: 47 | total time: 23.82m | eta: 35.6m
step 00681/01680 (40.54%) | loss: 3.174836 | lrm: 0.92 | dt: 2141.52ms | tok/sec: 244,820 | bf16_mfu: 59.61 | epoch: 1 pq: 7 rg: 48 | total time: 23.85m | eta: 35.5m
step 00682/01680 (40.60%) | loss: 3.167605 | lrm: 0.92 | dt: 2136.61ms | tok/sec: 245,383 | bf16_mfu: 59.75 | epoch: 1 pq: 7 rg: 49 | total time: 23.89m | eta: 35.5m
step 00683/01680 (40.65%) | loss: 3.167045 | lrm: 0.92 | dt: 2140.37ms | tok/sec: 244,951 | bf16_mfu: 59.64 | epoch: 1 pq: 7 rg: 50 | total time: 23.93m | eta: 35.4m
step 00684/01680 (40.71%) | loss: 3.165838 | lrm: 0.92 | dt: 2134.74ms | tok/sec: 245,597 | bf16_mfu: 59.80 | epoch: 1 pq: 7 rg: 51 | total time: 23.96m | eta: 35.4m
step 00685/01680 (40.77%) | loss: 3.159487 | lrm: 0.92 | dt: 2138.59ms | tok/sec: 245,156 | bf16_mfu: 59.69 | epoch: 1 pq: 7 rg: 51 | total time: 24.00m | eta: 35.4m
step 00686/01680 (40.83%) | loss: 3.163822 | lrm: 0.91 | dt: 2133.16ms | tok/sec: 245,779 | bf16_mfu: 59.85 | epoch: 1 pq: 7 rg: 52 | total time: 24.03m | eta: 35.3m
step 00687/01680 (40.89%) | loss: 3.175308 | lrm: 0.91 | dt: 2137.17ms | tok/sec: 245,318 | bf16_mfu: 59.73 | epoch: 1 pq: 7 rg: 53 | total time: 24.07m | eta: 35.3m
step 00688/01680 (40.95%) | loss: 3.178440 | lrm: 0.91 | dt: 2141.63ms | tok/sec: 244,807 | bf16_mfu: 59.61 | epoch: 1 pq: 7 rg: 54 | total time: 24.10m | eta: 35.3m
step 00689/01680 (41.01%) | loss: 3.172160 | lrm: 0.91 | dt: 2137.32ms | tok/sec: 245,301 | bf16_mfu: 59.73 | epoch: 1 pq: 7 rg: 55 | total time: 24.14m | eta: 35.2m
